event_name,f_1,f_2,title_fight,weight_class,gender,fight_url,event_url
UFC Fight Night,Dominick Reyes,Dustin Jacoby,F,Light Heavyweight,M,http://ufcstats.com/fight-details/2d12ae4683bbf433,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Charles Radtke,Carlos Prates,F,Welterweight,M,http://ufcstats.com/fight-details/8afe89f5c451b372,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Brunno Ferreira,Dustin Stoltzfus,F,Middleweight,M,http://ufcstats.com/fight-details/dcc0c53100fa1dd2,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,John Castaneda,Daniel Marcos,F,Bantamweight,M,http://ufcstats.com/fight-details/e976815e397c40e1,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Eduarda Moura,Denise Gomes,F,Women's Strawweight,F,http://ufcstats.com/fight-details/790a8cd528233e50,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Julian Marquez,Zach Reese,F,Middleweight,M,http://ufcstats.com/fight-details/3b12094dd48c2dc5,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Andrea Lee,Montana De La Rosa,F,Women's Flyweight,F,http://ufcstats.com/fight-details/a91fdb21a7ff52e5,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night,Rayanne dos Santos,Puja Tomar,F,Women's Strawweight,F,http://ufcstats.com/fight-details/b20640f9b2634de1,http://ufcstats.com/event-details/cba3a2dfbc06ce79
UFC Fight Night: Whittaker vs. Chimaev,Robert Whittaker,Khamzat Chimaev,F,Middleweight,M,http://ufcstats.com/fight-details/0443b6b618c3cc58,http://ufcstats.com/event-details/b12a1d19ee383b7c
UFC Fight Night: Whittaker vs. Chimaev,Kelvin Gastelum,Daniel Rodriguez,F,Welterweight,M,http://ufcstats.com/fight-details/8ddd53a7ed3754d5,http://ufcstats.com/event-details/b12a1d19ee383b7c
UFC Fight Night: Whittaker vs. Chimaev,Shara Magomedov,Ihor Potieria,F,Middleweight,M,http://ufcstats.com/fight-details/bf36cee6c9c144e2,http://ufcstats.com/event-details/b12a1d19ee383b7c
UFC Fight Night: Whittaker vs. Chimaev,Johnny Walker,Volkan Oezdemir,F,Light Heavyweight,M,http://ufcstats.com/fight-details/9d5f562e0572058c,http://ufcstats.com/event-details/b12a1d19ee383b7c
UFC Fight Night: Whittaker vs. Chimaev,Sergei Pavlovich,Alexander Volkov,F,Heavyweight,M,http://ufcstats.com/fight-details/cd3bb8a2824fbf22,http://ufcstats.com/event-details/b12a1d19ee383b7c
UFC 303: McGregor vs. Chandler,Conor McGregor,Michael Chandler,F,Welterweight,M,http://ufcstats.com/fight-details/376720db08ddd6d2,http://ufcstats.com/event-details/f3743d8ef5dde970
UFC 303: McGregor vs. Chandler,Joe Pyfer,Marc-Andre Barriault,F,Middleweight,M,http://ufcstats.com/fight-details/daa6b47be304ec86,http://ufcstats.com/event-details/f3743d8ef5dde970
UFC 303: McGregor vs. Chandler,Michelle Waterson-Gomez,Gillian Robertson,F,Women's Strawweight,F,http://ufcstats.com/fight-details/2517029ff9c1a1a2,http://ufcstats.com/event-details/f3743d8ef5dde970
UFC 303: McGregor vs. Chandler,Mayra Bueno Silva,Macy Chiasson,F,Women's Bantamweight,F,http://ufcstats.com/fight-details/a571c622ab89b3d9,http://ufcstats.com/event-details/f3743d8ef5dde970
UFC 303: McGregor vs. Chandler,Cub Swanson,Andre Fili,F,Featherweight,M,http://ufcstats.com/fight-details/08489fdfb56ee19c,http://ufcstats.com/event-details/f3743d8ef5dde970
UFC 303: McGregor vs. Chandler,Jamahal Hill,Khalil Rountree Jr.,F,Light Heavyweight,M,http://ufcstats.com/fight-details/53fc1cf32d39af65,http://ufcstats.com/event-details/f3743d8ef5dde970
UFC 303: McGregor vs. Chandler,Rei Tsuruya,Carlos Hernandez,F,Flyweight,M,http://ufcstats.com/fight-details/7856621db043423d,http://ufcstats.com/event-details/f3743d8ef5dde970
